,,top,mid_L_top,mid_R_top,mid_L_bot,mid_R_bot,bot_L,bot_R,"
"
vid_37_frame_400_3.jpg,N/A,"[14, 1]","[7, 14]","[19, 15]","[5, 22]","[19, 23]","[2, 33]","[21, 35]",
vid_37_frame_346_0.jpg,N/A,"[19, 4]","[12, 20]","[26, 20]","[10, 35]","[28, 35]","[7, 50]","[32, 50]",
vid_37_frame_208_3.jpg,N/A,"[16, 1]","[9, 14]","[20, 13]","[8, 22]","[21, 22]","[4, 34]","[22, 35]",
vid_36_frame_54_5.jpg,N/A,"[11, 0]","[7, 8]","[15, 8]","[6, 14]","[15, 14]","[4, 20]","[16, 21]",
vid_37_frame_204_4.jpg,N/A,"[12, 0]","[6, 15]","[17, 15]","[4, 28]","[19, 28]","[2, 44]","[24, 43]",
vid_37_frame_425_6.jpg,N/A,"[15, 3]","[10, 13]","[18, 13]","[8, 22]","[20, 23]","[7, 30]","[20, 31]",
vid_37_frame_245_6.jpg,N/A,"[16, 3]","[10, 15]","[21, 15]","[8, 24]","[23, 24]","[5, 35]","[25, 36]",
vid_37_frame_357_7.jpg,N/A,"[11, 0]","[6, 12]","[17, 11]","[5, 24]","[20, 23]","[3, 37]","[24, 35]",
vid_37_frame_245_3.jpg,N/A,"[22, 2]","[16, 23]","[32, 21]","[14, 39]","[37, 37]","[12, 58]","[44, 57]",
vid_37_frame_255_8.jpg,N/A,"[19, 1]","[11, 12]","[24, 12]","[8, 20]","[25, 20]","[6, 30]","[26, 31]",
vid_37_frame_246_5.jpg,N/A,"[11, 1]","[6, 13]","[17, 11]","[6, 24]","[20, 22]","[5, 35]","[23, 33]",
vid_37_frame_345_3.jpg,N/A,"[18, 1]","[11, 15]","[24, 15]","[10, 29]","[27, 29]","[7, 44]","[31, 44]",
vid_37_frame_345_4.jpg,N/A,"[15, 1]","[10, 11]","[19, 12]","[8, 21]","[19, 22]","[5, 31]","[21, 31]",
vid_37_frame_357_17.jpg,N/A,"[12, 1]","[8, 9]","[16, 8]","[7, 17]","[17, 16]","[5, 25]","[18, 25]",
vid_37_frame_540_4.jpg,N/A,"[20, 3]","[15, 17]","[26, 17]","[13, 28]","[28, 29]","[10, 41]","[30, 42]",
vid_37_frame_208_1.jpg,N/A,"[29, 4]","[19, 29]","[40, 29]","[17, 51]","[45, 48]","[15, 74]","[53, 71]",
vid_37_frame_423_2.jpg,N/A,"[14, 2]","[10, 12]","[19, 12]","[8, 23]","[21, 23]","[6, 33]","[22, 32]",
vid_37_frame_346_6.jpg,N/A,"[18, 3]","[10, 17]","[24, 17]","[8, 28]","[24, 28]","[4, 40]","[25, 41]",
vid_37_frame_364_7.jpg,N/A,"[41, 5]","[26, 30]","[50, 34]","[18, 52]","[51, 55]","[10, 75]","[54, 80]",
vid_37_frame_174_3.jpg,N/A,"[20, 3]","[13, 16]","[25, 16]","[10, 28]","[27, 28]","[7, 41]","[29, 40]",
vid_37_frame_350_4.jpg,N/A,"[25, 2]","[17, 20]","[33, 18]","[16, 37]","[37, 35]","[13, 55]","[42, 54]",
vid_37_frame_402_2.jpg,N/A,"[29, 5]","[16, 24]","[35, 26]","[12, 42]","[36, 43]","[6, 60]","[39, 64]",
vid_36_frame_54_6.jpg,N/A,"[12, 1]","[9, 10]","[15, 9]","[7, 16]","[17, 16]","[5, 23]","[17, 23]",
vid_37_frame_262_0.jpg,N/A,"[39, 4]","[28, 27]","[47, 29]","[23, 43]","[48, 46]","[16, 62]","[50, 66]",
vid_37_frame_516_1.jpg,N/A,"[16, 2]","[10, 13]","[20, 13]","[8, 23]","[22, 24]","[6, 34]","[23, 35]",
vid_37_frame_188_6.jpg,N/A,"[13, 2]","[9, 16]","[19, 15]","[7, 24]","[21, 23]","[5, 36]","[24, 35]",
vid_37_frame_188_10.jpg,N/A,"[18, 3]","[12, 15]","[23, 15]","[9, 25]","[24, 25]","[7, 35]","[26, 35]",
vid_37_frame_241_2.jpg,N/A,"[25, 3]","[17, 29]","[39, 26]","[15, 51]","[46, 48]","[13, 75]","[53, 71]",
vid_37_frame_362_4.jpg,N/A,"[11, 2]","[6, 15]","[17, 15]","[5, 25]","[19, 24]","[4, 38]","[23, 37]",
vid_37_frame_241_0.jpg,N/A,"[38, 4]","[26, 26]","[46, 29]","[20, 45]","[48, 47]","[16, 63]","[49, 68]",
vid_37_frame_345_6.jpg,N/A,"[22, 1]","[13, 13]","[27, 14]","[10, 24]","[28, 25]","[7, 37]","[29, 39]",
vid_37_frame_246_1.jpg,N/A,"[25, 9]","[18, 35]","[39, 31]","[17, 55]","[45, 51]","[14, 79]","[53, 75]",
vid_37_frame_425_7.jpg,N/A,"[10, 2]","[5, 11]","[13, 11]","[4, 18]","[14, 18]","[3, 26]","[15, 27]",
vid_37_frame_171_3.jpg,N/A,"[23, 2]","[16, 14]","[28, 14]","[12, 25]","[28, 26]","[8, 36]","[29, 39]",
vid_37_frame_244_10.jpg,N/A,"[12, 3]","[9, 12]","[17, 11]","[8, 20]","[20, 18]","[7, 29]","[22, 27]",
vid_37_frame_209_2.jpg,N/A,"[22, 2]","[14, 18]","[28, 18]","[11, 30]","[29, 32]","[6, 45]","[31, 47]",
vid_37_frame_357_4.jpg,N/A,"[21, 4]","[14, 20]","[27, 20]","[11, 31]","[29, 31]","[8, 46]","[32, 45]",
vid_37_frame_395_2.jpg,N/A,"[26, 1]","[16, 17]","[30, 18]","[13, 29]","[31, 30]","[7, 41]","[33, 44]",
vid_37_frame_419_3.jpg,N/A,"[30, 5]","[19, 23]","[38, 24]","[15, 39]","[40, 41]","[9, 58]","[43, 60]",
vid_37_frame_214_1.jpg,N/A,"[39, 3]","[27, 23]","[45, 25]","[22, 40]","[46, 43]","[14, 59]","[47, 64]",
vid_37_frame_237_3.jpg,N/A,"[16, 2]","[10, 16]","[20, 15]","[9, 29]","[24, 27]","[6, 43]","[28, 42]",
vid_37_frame_182_1.jpg,N/A,"[18, 1]","[11, 22]","[27, 21]","[10, 41]","[32, 38]","[7, 60]","[37, 57]",
vid_37_frame_340_1.jpg,N/A,"[30, 9]","[22, 23]","[36, 25]","[18, 35]","[37, 38]","[14, 48]","[37, 52]",
vid_37_frame_404_1.jpg,N/A,"[11, 1]","[6, 11]","[15, 11]","[5, 20]","[17, 20]","[4, 29]","[19, 28]",
vid_37_frame_182_2.jpg,N/A,"[13, 1]","[8, 12]","[18, 12]","[6, 23]","[20, 23]","[4, 34]","[23, 34]",
vid_37_frame_521_2.jpg,N/A,"[26, 4]","[15, 22]","[33, 24]","[10, 37]","[33, 39]","[6, 56]","[36, 58]",
vid_37_frame_352_2.jpg,N/A,"[21, 4]","[13, 19]","[27, 19]","[10, 33]","[29, 32]","[6, 47]","[32, 47]",
vid_37_frame_374_0.jpg,N/A,"[15, 1]","[9, 14]","[20, 14]","[7, 27]","[23, 26]","[5, 40]","[25, 39]",
vid_37_frame_521_5.jpg,N/A,"[17, 2]","[9, 14]","[22, 15]","[7, 24]","[23, 25]","[3, 37]","[23, 38]",
vid_37_frame_188_0.jpg,N/A,"[18, 6]","[11, 25]","[27, 22]","[10, 41]","[32, 38]","[8, 60]","[37, 57]",
vid_37_frame_259_7.jpg,N/A,"[13, 0]","[9, 8]","[17, 8]","[8, 17]","[18, 17]","[4, 25]","[19, 26]",
vid_37_frame_255_0.jpg,N/A,"[46, 1]","[30, 27]","[54, 29]","[23, 50]","[55, 53]","[16, 72]","[59, 77]",
vid_37_frame_414_0.jpg,N/A,"[28, 9]","[20, 38]","[43, 34]","[18, 60]","[50, 55]","[16, 86]","[60, 78]",
vid_37_frame_362_3.jpg,N/A,"[22, 1]","[13, 23]","[34, 20]","[14, 43]","[40, 39]","[14, 65]","[47, 61]",
vid_37_frame_516_4.jpg,N/A,"[32, 2]","[23, 26]","[42, 26]","[20, 46]","[47, 45]","[17, 69]","[52, 67]",
vid_37_frame_353_2.jpg,N/A,"[19, 4]","[12, 22]","[27, 21]","[10, 41]","[32, 39]","[8, 61]","[36, 59]",
vid_37_frame_348_2.jpg,N/A,"[23, 3]","[15, 26]","[33, 24]","[13, 46]","[39, 44]","[11, 70]","[45, 66]",
vid_37_frame_350_1.jpg,N/A,"[40, 2]","[26, 22]","[47, 24]","[20, 40]","[48, 42]","[12, 60]","[51, 63]",
vid_37_frame_234_5.jpg,N/A,"[16, 2]","[10, 14]","[21, 15]","[8, 23]","[22, 23]","[4, 32]","[23, 34]",
vid_37_frame_552_2.jpg,N/A,"[18, 2]","[12, 14]","[23, 14]","[10, 23]","[25, 23]","[7, 34]","[25, 35]",
vid_37_frame_517_2.jpg,N/A,"[16, 2]","[10, 14]","[20, 14]","[7, 25]","[21, 26]","[4, 38]","[23, 38]",
vid_37_frame_357_10.jpg,N/A,"[11, 1]","[7, 11]","[15, 11]","[6, 17]","[16, 16]","[4, 27]","[20, 26]",
vid_37_frame_410_2.jpg,N/A,"[21, 10]","[13, 23]","[26, 24]","[11, 34]","[27, 35]","[8, 45]","[29, 47]",
vid_37_frame_539_2.jpg,N/A,"[14, 2]","[9, 11]","[18, 12]","[8, 21]","[19, 21]","[6, 33]","[23, 32]",
vid_37_frame_352_5.jpg,N/A,"[23, 4]","[13, 21]","[29, 22]","[10, 35]","[30, 36]","[5, 51]","[33, 54]",
vid_37_frame_232_0.jpg,N/A,"[12, 3]","[7, 14]","[18, 13]","[5, 28]","[20, 27]","[3, 40]","[24, 40]",
vid_37_frame_551_2.jpg,N/A,"[16, 2]","[11, 13]","[21, 13]","[9, 20]","[22, 21]","[7, 29]","[22, 30]",
vid_37_frame_210_2.jpg,N/A,"[17, 3]","[12, 15]","[23, 16]","[9, 28]","[26, 27]","[7, 40]","[29, 39]",
vid_37_frame_260_2.jpg,N/A,"[38, 3]","[24, 27]","[47, 30]","[18, 47]","[48, 51]","[8, 70]","[50, 76]",
vid_37_frame_259_4.jpg,N/A,"[13, 1]","[8, 13]","[17, 13]","[6, 23]","[18, 22]","[4, 33]","[20, 34]",
vid_37_frame_447_0.jpg,N/A,"[56, 6]","[38, 34]","[65, 38]","[28, 61]","[66, 68]","[18, 89]","[66, 95]",
vid_37_frame_367_0.jpg,N/A,"[32, 3]","[24, 28]","[46, 26]","[22, 49]","[52, 45]","[20, 72]","[59, 67]",
vid_37_frame_209_1.jpg,N/A,"[15, 1]","[10, 13]","[20, 13]","[7, 28]","[21, 27]","[6, 41]","[27, 41]",
vid_37_frame_171_1.jpg,N/A,"[24, 3]","[17, 19]","[32, 18]","[15, 35]","[34, 34]","[14, 51]","[39, 49]",
vid_37_frame_208_0.jpg,N/A,"[45, 6]","[31, 28]","[51, 31]","[24, 48]","[52, 52]","[16, 69]","[54, 76]",
vid_37_frame_535_1.jpg,N/A,"[28, 2]","[19, 24]","[37, 25]","[16, 40]","[39, 41]","[10, 61]","[45, 60]",
vid_37_frame_413_4.jpg,N/A,"[15, 4]","[9, 15]","[20, 15]","[8, 24]","[22, 24]","[5, 34]","[24, 35]",
vid_37_frame_528_2.jpg,N/A,"[27, 6]","[18, 25]","[34, 24]","[16, 39]","[37, 39]","[12, 55]","[40, 56]",
vid_37_frame_352_1.jpg,N/A,"[53, 6]","[36, 35]","[63, 38]","[28, 60]","[64, 64]","[16, 89]","[69, 94]",
vid_37_frame_211_0.jpg,N/A,"[33, 2]","[23, 20]","[39, 21]","[20, 34]","[40, 36]","[14, 49]","[42, 52]",
vid_37_frame_551_3.jpg,N/A,"[37, 3]","[24, 24]","[44, 26]","[20, 40]","[45, 43]","[14, 60]","[46, 64]",
vid_37_frame_262_1.jpg,N/A,"[30, 4]","[22, 29]","[42, 26]","[20, 49]","[47, 46]","[16, 73]","[56, 68]",
vid_37_frame_425_1.jpg,N/A,"[15, 1]","[9, 14]","[22, 14]","[7, 30]","[26, 29]","[4, 44]","[28, 43]",
vid_37_frame_365_1.jpg,N/A,"[25, 2]","[15, 24]","[35, 24]","[11, 41]","[38, 42]","[6, 63]","[40, 64]",
vid_37_frame_517_7.jpg,N/A,"[13, 5]","[10, 13]","[17, 13]","[8, 21]","[18, 21]","[6, 29]","[18, 30]",
vid_37_frame_348_0.jpg,N/A,"[20, 3]","[12, 17]","[26, 17]","[10, 29]","[27, 29]","[6, 44]","[28, 43]",
vid_37_frame_231_1.jpg,N/A,"[55, 9]","[36, 34]","[63, 40]","[27, 57]","[62, 63]","[14, 83]","[65, 91]",
vid_37_frame_179_8.jpg,N/A,"[11, 0]","[6, 9]","[14, 8]","[4, 18]","[16, 18]","[3, 29]","[17, 29]",
vid_37_frame_188_1.jpg,N/A,"[18, 8]","[11, 23]","[25, 23]","[9, 37]","[26, 37]","[4, 51]","[30, 52]",
vid_37_frame_234_0.jpg,N/A,"[42, 4]","[30, 26]","[52, 30]","[23, 45]","[53, 48]","[17, 66]","[54, 69]",
